Rooms,DistCenter,Area,Price,AdmArea,District,Lat,Long,Address
3,15.911805,58,10835,Южный административный округ,район Братеево,55.630000,37.750000,"улица Борисовские Пруды, дом 16, корпус 4"
3,11.043735,65,14006,Северо-Восточный административный округ,район Марфино,55.850000,37.590000,"Ботаническая улица, дом 14"
2,12.627697,50,10019,Южный административный округ,район Царицыно,55.640000,37.650000,"Кантемировская улица, дом 53, корпус 1"
3,15.051803,59,10686,Южный административный округ,район Царицыно,55.620000,37.670000,"Луганская улица, дом 8"
2,14.706922,51,10643,Западный административный округ,Можайский район,55.720000,37.390000,"улица Горбунова, дом 11, корпус 4"
2,12.013561,50,9536,Западный административный округ,Можайский район,55.730000,37.430000,"улица Красных Зорь, дом 37"
1,14.829106,24,4344,Южный административный округ,район Царицыно,55.620000,37.650000,"Севанская улица, дом 56, корпус 3"
1,12.514003,35,5790,Южный административный округ,район Чертаново Северное,55.640000,37.600000,"микрорайон Северное Чертаново, дом 3, корпус А"
1,3.730527,31,6827,Южный административный округ,Донской район,55.720000,37.600000,"Донская улица, дом 28"
3,10.992170,69,10960,Западный административный округ,район Проспект Вернадского,55.670000,37.520000,"улица Удальцова, дом 4"
1,6.514568,35,5442,Юго-Западный административный округ,Гагаринский район,55.700000,37.570000,"Ленинский проспект, дом 40"
1,12.144054,32,5162,Северо-Восточный административный округ,район Отрадное,55.860000,37.590000,"Алтуфьевское шоссе, дом 20А"
3,4.838061,51,11542,Юго-Восточный административный округ,Южнопортовый район,55.720000,37.670000,"Шарикоподшипниковская улица, дом 2"
3,12.562254,64,14278,Юго-Восточный административный округ,район Выхино-Жулебино,55.720000,37.810000,"улица Хлобыстова, дом 18, корпус 2"
3,8.083012,67,11828,Северный административный округ,район Аэропорт,55.810000,37.540000,"Планетная улица, дом 47, корпус 1"
1,13.038046,23,4192,Юго-Восточный административный округ,район Марьино,55.650000,37.720000,"Донецкая улица, дом 23"
1,14.732362,33,6177,Южный административный округ,район Чертаново Центральное,55.620000,37.600000,"Кировоградская улица, дом 16, корпус 2"
3,13.619720,58,9223,Северный административный округ,Бескудниковский район,55.870000,37.560000,"Бескудниковский бульвар, дом 28, корпус 1"
3,10.508502,74,14608,Юго-Западный административный округ,район Зюзино,55.660000,37.580000,"Болотниковская улица, дом 45, корпус 2"
2,7.115550,58,10963,Юго-Западный административный округ,Академический район,55.690000,37.590000,"улица Шверника, дом 9, корпус 5"
3,12.514003,54,9682,Юго-Западный административный округ,район Зюзино,55.640000,37.600000,"Черноморский бульвар, дом 11, корпус 2"
3,11.595603,79,14822,Юго-Западный административный округ,район Зюзино,55.650000,37.580000,"Балаклавский проспект, дом 38"
1,15.329248,31,5446,Южный административный округ,район Братеево,55.640000,37.760000,"улица Борисовские Пруды, дом 24/2"
2,12.384768,37,7606,Северный административный округ,район Восточное Дегунино,55.860000,37.570000,"Дубнинская улица, дом 4, корпус 3"
2,5.262633,56,9616,Северный административный округ,Хорошёвский район,55.780000,37.550000,"1-й Хорошёвский проезд, дом 6"
2,13.246476,39,7815,Северо-Восточный административный округ,район Отрадное,55.870000,37.590000,"улица Декабристов, дом 2, корпус 2"
3,6.866878,77,12109,Северный административный округ,Хорошёвский район,55.780000,37.520000,"улица Куусинена, дом 4, корпус 3"
2,13.164323,54,8319,Восточный административный округ,район Вешняки,55.720000,37.820000,"Вешняковская улица, дом 26, корпус 2"
1,11.328156,26,4961,Западный административный округ,район Проспект Вернадского,55.680000,37.490000,"улица Коштоянца, дом 21А"
3,14.829106,57,8435,Южный административный округ,район Царицыно,55.620000,37.650000,"улица Бехтерева, дом 43, корпус 1"
2,13.179185,38,5437,Северо-Восточный административный округ,район Отрадное,55.870000,37.600000,"улица Римского-Корсакова, дом 12"
2,4.088238,53,10202,Центральный административный округ,Красносельский район,55.780000,37.660000,"Верхняя Красносельская улица, дом 32, строение 3"
1,15.979576,24,4689,Южный административный округ,район Чертаново Центральное,55.610000,37.580000,"улица Красного Маяка, дом 15, корпус 2"
1,13.619720,24,4531,Северный административный округ,Бескудниковский район,55.870000,37.560000,"Дубнинская улица, дом 37, корпус 1"
1,12.341183,24,4828,Юго-Восточный административный округ,район Выхино-Жулебино,55.710000,37.800000,"улица Академика Скрябина, дом 7, корпус 1"
1,14.209637,29,6047,Восточный административный округ,район Гольяново,55.810000,37.820000,"Новосибирская улица, дом 6, корпус 2"
3,14.732362,62,11409,Южный административный округ,район Чертаново Центральное,55.620000,37.600000,"Чертановская улица, дом 21, корпус 3"
1,18.112849,22,3667,Южный административный округ,район Чертаново Южное,55.590000,37.590000,"Варшавское шоссе, дом 152, корпус 7"
2,15.898722,59,10286,Южный административный округ,район Чертаново Центральное,55.610000,37.590000,"Чертановская улица, дом 48, корпус 2"
2,18.063341,44,8519,Южный административный округ,район Чертаново Южное,55.590000,37.600000,"Варшавское шоссе, дом 158, корпус 1"
3,17.005404,75,10504,Южный административный округ,район Чертаново Южное,55.600000,37.590000,"Кировоградский проезд, дом 3, корпус 2"
2,18.035551,38,6081,Южный административный округ,район Чертаново Южное,55.590000,37.610000,"улица Газопровод, дом 11, корпус 2"
2,18.063341,41,6217,Южный административный округ,район Чертаново Южное,55.590000,37.600000,"улица Газопровод, дом 3, корпус 1"
2,16.916706,49,8431,Южный административный округ,район Чертаново Южное,55.600000,37.620000,"Дорожная улица, дом 28, корпус 1"
2,16.916706,50,7781,Южный административный округ,район Чертаново Южное,55.600000,37.620000,"Дорожная улица, дом 7, корпус 2"
3,17.005404,69,9922,Южный административный округ,район Чертаново Южное,55.600000,37.590000,"Кировоградская улица, дом 44, корпус 2"
2,16.923069,50,8027,Южный административный округ,район Чертаново Южное,55.600000,37.610000,"Россошанская улица, дом 1, корпус 1"
3,16.923069,73,12568,Южный административный округ,район Чертаново Южное,55.600000,37.610000,"Россошанская улица, дом 7, корпус 1"
1,7.688729,24,5764,Восточный административный округ,район Соколиная Гора,55.780000,37.730000,"Щербаковская улица, дом 35"
2,5.751500,46,9719,Восточный административный округ,район Сокольники,55.790000,37.680000,"2-й Полевой переулок, дом 2"
1,5.493853,30,6669,Восточный административный округ,район Сокольники,55.780000,37.690000,"улица Гастелло, дом 41"
3,6.192896,73,12859,Восточный административный округ,район Сокольники,55.790000,37.690000,"Малая Остроумовская улица, дом 1"
2,9.090173,57,11643,Восточный административный округ,район Богородское,55.810000,37.720000,"Малая Черкизовская улица, дом 64"
1,7.419776,27,4897,Восточный административный округ,район Преображенское,55.800000,37.700000,"улица Богородский Вал, дом 6, корпус 1"
1,14.438159,26,5021,Юго-Восточный административный округ,район Марьино,55.650000,37.760000,"Поречная улица, дом 17/22"
3,8.337428,53,8413,Восточный административный округ,район Преображенское,55.800000,37.720000,"Большая Черкизовская улица, дом 9, корпус 2"
2,8.202357,44,9261,Восточный административный округ,район Преображенское,55.790000,37.730000,"Большая Черкизовская улица, дом 22, корпус 5"
2,8.337428,53,9665,Восточный административный округ,район Преображенское,55.800000,37.720000,"Знаменская улица, дом 12/4"
2,6.088708,57,9741,Юго-Восточный административный округ,Южнопортовый район,55.710000,37.680000,"5-я Кожуховская улица, дом 32, корпус 1"
3,4.838061,71,12893,Юго-Восточный административный округ,Южнопортовый район,55.720000,37.670000,"Новоостаповская улица, дом 8"
1,12.187771,31,5547,Северо-Восточный административный округ,Бабушкинский район,55.860000,37.650000,"улица Чичерина, дом 8, корпус 1"
1,12.473907,33,5080,Южный административный округ,Нагорный район,55.640000,37.610000,"Симферопольский бульвар, дом 35, корпус 1"
1,13.509467,30,5558,Юго-Восточный административный округ,район Выхино-Жулебино,55.710000,37.820000,"Ташкентский переулок, дом 9, корпус 1"
2,14.829106,49,9571,Южный административный округ,район Царицыно,55.620000,37.650000,"Севанская улица, дом 17"
3,14.295263,54,11571,Северный административный округ,район Левобережный,55.850000,37.470000,"Ленинградское шоссе, дом 51, строение 2"
2,6.088708,42,6891,Юго-Восточный административный округ,Южнопортовый район,55.710000,37.680000,"5-я Кожуховская улица, дом 21"
2,3.153653,45,8681,Центральный административный округ,Тверской район,55.780000,37.610000,"Никоновский переулок, дом 19/22"
1,15.858635,25,4413,Восточный административный округ,район Новокосино,55.740000,37.870000,"Новокосинская улица, дом 37"
1,16.482908,30,5240,Восточный административный округ,район Новокосино,55.740000,37.880000,"Новокосинская улица, дом 49"
3,15.374037,71,11957,Восточный административный округ,район Новокосино,55.730000,37.860000,"Новокосинская улица, дом 8, корпус 1"
3,16.482908,74,12824,Восточный административный округ,район Новокосино,55.740000,37.880000,"Салтыковская улица, дом 39"
2,14.610637,36,7469,Восточный административный округ,район Новокосино,55.740000,37.850000,"Суздальская улица, дом 10, корпус 3"
2,14.610637,50,8983,Восточный административный округ,район Новокосино,55.740000,37.850000,"Суздальская улица, дом 18, корпус 3"
1,15.295124,29,4520,Южный административный округ,район Орехово-Борисово Северное,55.630000,37.730000,"Борисовский проезд, дом 15, корпус 2"
2,14.759543,49,7843,Южный административный округ,район Орехово-Борисово Северное,55.630000,37.710000,"Борисовский проезд, дом 3, корпус 1"
2,16.291495,45,6433,Южный административный округ,район Орехово-Борисово Северное,55.620000,37.730000,"Борисовский проезд, дом 36, корпус 1"
2,15.789617,48,9696,Южный административный округ,район Орехово-Борисово Северное,55.620000,37.710000,"Каширское шоссе, дом 86, корпус 2"
2,16.830242,43,7898,Южный административный округ,район Орехово-Борисово Северное,55.610000,37.710000,"Каширское шоссе, дом 98, корпус 1"
3,16.624851,65,9279,Южный административный округ,район Орехово-Борисово Северное,55.610000,37.700000,"Ореховый бульвар, дом 7, корпус 1"
1,17.056254,26,4754,Южный административный округ,район Орехово-Борисово Северное,55.610000,37.720000,"улица Генерала Белова, дом 33/19"
1,16.624851,27,5228,Южный административный округ,район Орехово-Борисово Северное,55.610000,37.700000,"Домодедовская улица, дом 22, корпус 3"
2,15.570562,51,9671,Южный административный округ,район Орехово-Борисово Северное,55.620000,37.700000,"Шипиловская улица, дом 14"
1,17.849833,34,4728,Южный административный округ,район Орехово-Борисово Южное,55.610000,37.750000,"Гурьевский проезд, дом 17, корпус 2"
1,18.150066,24,4374,Южный административный округ,район Орехово-Борисово Южное,55.610000,37.760000,"Гурьевский проезд, дом 27, корпус 2"
3,18.150066,61,9700,Южный административный округ,район Орехово-Борисово Южное,55.610000,37.760000,"Гурьевский проезд, дом 35/58"
3,18.092538,55,9474,Южный административный округ,район Орехово-Борисово Южное,55.600000,37.720000,"Каширское шоссе, дом 128, корпус 2"
3,16.830242,70,13373,Южный административный округ,район Орехово-Борисово Южное,55.610000,37.710000,"Ореховый бульвар, дом 10, корпус 2"
1,17.302080,34,5406,Южный административный округ,район Орехово-Борисово Южное,55.610000,37.730000,"улица Генерала Белова, дом 41"
3,10.165715,60,11263,Восточный административный округ,район Перово,55.750000,37.780000,"Перовская улица, дом 34, корпус 1"
3,19.808275,52,8553,Юго-Восточный административный округ,район Некрасовка,55.700000,37.920000,"проспект Защитников Москвы, дом 15"
1,10.385298,35,5565,Юго-Западный административный округ,район Зюзино,55.660000,37.590000,"Болотниковская улица, дом 33, корпус 2"
2,11.595603,45,6815,Юго-Западный административный округ,район Зюзино,55.650000,37.580000,"Керченская улица, дом 24"
1,17.231145,29,5231,Южный административный округ,район Бирюлёво Восточное,55.600000,37.670000,"Липецкая улица, дом 14, корпус 1"
2,18.325007,51,9895,Южный административный округ,район Бирюлёво Восточное,55.590000,37.670000,"Липецкая улица, дом 20"
2,19.672054,49,7909,Южный административный округ,район Бирюлёво Восточное,55.580000,37.690000,"Лебедянская улица, дом 32"
2,19.248774,44,6603,Южный административный округ,район Бирюлёво Западное,55.580000,37.650000,"Востряковский проезд, дом 17, корпус 4"
3,18.083096,63,10461,Южный административный округ,район Бирюлёво Западное,55.590000,37.640000,"Востряковский проезд, дом 3, корпус 1"
2,19.192882,44,7533,Южный административный округ,район Бирюлёво Западное,55.580000,37.640000,"Востряковский проезд, дом 5, корпус 2"
1,19.192882,30,4611,Южный административный округ,район Бирюлёво Западное,55.580000,37.640000,"Булатниковская улица, дом 11, корпус 1"
2,19.248774,49,7807,Южный административный округ,район Бирюлёво Западное,55.580000,37.650000,"Булатниковская улица, дом 5, корпус 5"
2,18.142392,42,5702,Южный административный округ,район Бирюлёво Западное,55.590000,37.650000,"Медынская улица, дом 2, корпус 1"
3,18.142392,52,9884,Южный административный округ,район Бирюлёво Западное,55.590000,37.650000,"Медынская улица, дом 5, корпус 3"
3,18.142392,79,12034,Южный административный округ,район Бирюлёво Западное,55.590000,37.650000,"Харьковская улица, дом 3, корпус 2"
3,17.036860,58,9804,Южный административный округ,район Бирюлёво Западное,55.600000,37.650000,"Харьковский проезд, дом 1, корпус 3"
3,18.083096,70,10680,Южный административный округ,район Бирюлёво Западное,55.590000,37.640000,"Харьковский проезд, дом 11, корпус 2"
1,18.083096,23,3451,Южный административный округ,район Бирюлёво Западное,55.590000,37.640000,"Харьковский проезд, дом 9, корпус 3"
2,15.329248,42,6362,Южный административный округ,район Братеево,55.640000,37.760000,"улица Борисовские Пруды, дом 28/1"
2,15.702635,45,8231,Южный административный округ,район Братеево,55.640000,37.770000,"улица Борисовские Пруды, дом 46, корпус 2"
1,16.247720,29,4155,Южный административный округ,район Братеево,55.630000,37.760000,"Братеевская улица, дом 10, корпус 4"
1,16.600550,22,3857,Южный административный округ,район Братеево,55.630000,37.770000,"Братеевская улица, дом 16, корпус 6"
2,15.911805,52,9147,Южный административный округ,район Братеево,55.630000,37.750000,"Братеевская улица, дом 21, корпус 1"
3,15.702635,65,10961,Южный административный округ,район Братеево,55.640000,37.770000,"Братеевская улица, дом 39/12"
3,16.247720,69,12441,Южный административный округ,район Братеево,55.630000,37.760000,"Ключевая улица, дом 24, корпус 1"
2,15.329248,50,7456,Южный административный округ,район Братеево,55.640000,37.760000,"Паромная улица, дом 9, корпус 1"
3,14.944858,72,12139,Северо-Восточный административный округ,Лосиноостровский район,55.880000,37.690000,"Оборонная улица, дом 8"
3,13.888306,68,10959,Северо-Восточный административный округ,Лосиноостровский район,55.870000,37.690000,"Шушенская улица, дом 3, корпус 1"
3,14.767828,68,11084,Северо-Восточный административный округ,Лосиноостровский район,55.880000,37.680000,"Тайнинская улица, дом 11, корпус 1"
2,12.330821,53,10596,Юго-Восточный административный округ,район Люблино,55.670000,37.750000,"Совхозная улица, дом 4, корпус 4"
1,12.330821,31,5636,Юго-Восточный административный округ,район Люблино,55.670000,37.750000,"улица Верхние Поля, дом 17, корпус 2"
2,10.312286,46,9189,Юго-Восточный административный округ,район Люблино,55.690000,37.740000,"Люблинская улица, дом 59"
3,13.206779,69,11062,Юго-Восточный административный округ,район Люблино,55.670000,37.770000,"Краснодарская улица, дом 60"
2,12.462826,42,7196,Юго-Восточный административный округ,район Люблино,55.680000,37.770000,"Ставропольская улица, дом 60, корпус 1"
1,12.949251,28,5682,Юго-Восточный административный округ,район Люблино,55.680000,37.780000,"Ставропольская улица, дом 76"
1,13.206779,34,7147,Юго-Восточный административный округ,район Люблино,55.670000,37.770000,"Цимлянская улица, дом 30"
2,8.751432,44,9180,Северо-Восточный административный округ,район Марфино,55.830000,37.600000,"улица Академика Комарова, дом 1"
3,8.751432,69,11815,Северо-Восточный административный округ,район Марфино,55.830000,37.600000,"улица Академика Комарова, дом 1В"
2,7.419776,39,6874,Восточный административный округ,район Сокольники,55.800000,37.700000,"улица Олений Вал, дом 24, корпус 2"
