AdmArea,District,Address,Long,Lat
Южный административный округ,район Братеево,"улица Борисовские Пруды, дом 16, корпус 4",37.75,55.63
Северо-Восточный административный округ,район Марфино,"Ботаническая улица, дом 14",37.59,55.85
Южный административный округ,район Царицыно,"Кантемировская улица, дом 53, корпус 1",37.65,55.64
Южный административный округ,район Царицыно,"Луганская улица, дом 8",37.67,55.62
Западный административный округ,Можайский район,"улица Горбунова, дом 11, корпус 4",37.39,55.72
Западный административный округ,Можайский район,"улица Красных Зорь, дом 37",37.43,55.73
Западный административный округ,район Ново-Переделкино,"улица Скульптора Мухиной, дом 5",37.35,55.64
Южный административный округ,район Царицыно,"Севанская улица, дом 56, корпус 3",37.65,55.62
Южный административный округ,район Чертаново Северное,"микрорайон Северное Чертаново, дом 3, корпус А",37.60,55.64
Южный административный округ,Донской район,"Донская улица, дом 28",37.60,55.72
Западный административный округ,район Проспект Вернадского,"улица Удальцова, дом 4",37.52,55.67
Юго-Западный административный округ,Гагаринский район,"Ленинский проспект, дом 40",37.57,55.70
Северо-Восточный административный округ,район Отрадное,"Алтуфьевское шоссе, дом 20А",37.59,55.86
Юго-Восточный административный округ,Южнопортовый район,"Шарикоподшипниковская улица, дом 2",37.67,55.72
Юго-Восточный административный округ,район Выхино-Жулебино,"улица Хлобыстова, дом 18, корпус 2",37.81,55.72
Северный административный округ,район Аэропорт,"Планетная улица, дом 47, корпус 1",37.54,55.81
Юго-Восточный административный округ,район Марьино,"Донецкая улица, дом 23",37.72,55.65
Южный административный округ,район Чертаново Центральное,"Кировоградская улица, дом 16, корпус 2",37.60,55.62
Северо-Западный административный округ,район Митино,"улица Барышиха, дом 33, корпус 1",37.34,55.85
Северный административный округ,Бескудниковский район,"Бескудниковский бульвар, дом 28, корпус 1",37.56,55.87
Юго-Западный административный округ,район Зюзино,"Болотниковская улица, дом 45, корпус 2",37.58,55.66
Юго-Западный административный округ,Академический район,"улица Шверника, дом 9, корпус 5",37.59,55.69
Юго-Западный административный округ,район Зюзино,"Черноморский бульвар, дом 11, корпус 2",37.60,55.64
Юго-Западный административный округ,район Зюзино,"Балаклавский проспект, дом 38",37.58,55.65
Южный административный округ,район Братеево,"улица Борисовские Пруды, дом 24/2",37.76,55.64
